epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,train_l_att,val_l_att
1,0.9029196737421639,0.7462252071022905,0.6643856885947118,0.792199741747454,0.7791051581055867,0.7004490545159159,0.1386820158235712,0.11702531170557125
2,0.7769440883203874,0.7701335918311063,0.6930246622408116,0.7532462736119956,0.7833208310993427,0.7070918928215124,0.11924512959347144,0.11316538416274748
3,0.7235278724786519,0.7823638653716302,0.707072070453035,0.718400447860399,0.7902275639504656,0.7143437585322618,0.11279884719506522,0.10866754579688508
4,0.6669355424004346,0.7960446070172879,0.7233765130544453,0.7105937490127884,0.7871654304370289,0.7100117433375617,0.10392700805584275,0.1156320357743855
5,0.6168500090692968,0.8084028019889826,0.7385583210175402,0.7424185999301955,0.7738908524379416,0.6946494331737763,0.09822260135123496,0.11701661973094991
6,0.569832400893855,0.8205478572255325,0.7526871809630071,0.7622207879883969,0.7726643609200078,0.6929296912433436,0.09243134913955121,0.1155342085313723
7,0.5281496707056242,0.8308460341270256,0.7650438177776173,0.7932111720795264,0.7521998786238983,0.675890215006839,0.08583221232597465,0.12475836387161876
8,0.5055884758429289,0.8375339013033202,0.772208375407755,0.7738350843305531,0.7676273759177384,0.6882789932779936,0.08514267089333952,0.1172924466800752
9,0.46272197149598127,0.8467001612281886,0.7840814433261718,0.7812097570992637,0.7809965173189759,0.7043855223015596,0.07861561812539856,0.11362718381887356
10,0.43729932113056813,0.8548735532732036,0.794091547887595,0.794722038761326,0.7736721387315627,0.6958329014060601,0.07536879101464987,0.11668357874969551
11,0.41992087373760023,0.8601233001484613,0.800543754744579,0.8129567405739045,0.7682773978826659,0.6901714848775026,0.07417453826320206,0.11777873841350213
12,0.3942285996374218,0.8661872414008652,0.8088687711134392,0.8023347900426575,0.7821020385365369,0.7051394562944601,0.06970362604300906,0.11163184608335244
13,0.3767759206161003,0.8725203067430445,0.8155544048982678,0.8129135479532941,0.7797327137334842,0.7016805761781975,0.07035721814432687,0.10957332047349323
14,0.35956671587722816,0.8762384042203474,0.8209292723240234,0.8086056159298585,0.7864159140930471,0.7109872626492847,0.06549288601942946,0.10424984458228452
15,0.346808330903884,0.8793527181561305,0.8246236388214104,0.866179993458812,0.7815754151577219,0.7043658833394066,0.0649422644031358,0.10895017481909934
16,0.32214670796551526,0.8872984694128365,0.8349853503668879,0.8461263009320273,0.7895848979583373,0.7129891098275762,0.060282974579981975,0.10649091806372156
17,0.31304804330131236,0.8903922952412675,0.8386151675951248,0.8702164541968866,0.7752676623347693,0.6982770454162579,0.0605133160020556,0.1120500309956953
18,0.30501461064055463,0.8932087525347704,0.8424367279546587,0.9289850867681653,0.7811413475528611,0.704439490061195,0.05978565075644657,0.10835272973213665
19,0.29671377986221587,0.895851687903466,0.8459224595307947,0.8798621300919172,0.7742136904647973,0.6942274402529655,0.057377409586780316,0.11423133143318656
20,0.2817221645154351,0.8996097142762248,0.8509270420443804,0.8815922042836408,0.7761249395915015,0.6987205941125325,0.056304848364083476,0.1095804112973105
