epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.7759468210861087,0.7439895451867155,0.660690979366856,0.699776771167914,0.7584895975887775,0.6758824847638607
2,0.675121643048312,0.7740671522915363,0.6979324658002172,0.6378635950386524,0.7788837452729543,0.7021103960772356
3,0.632004263145583,0.7854012008756399,0.7113790389682565,0.6248238831758499,0.7886886708438396,0.7118037777642409
4,0.5896775356626937,0.7986276389232704,0.7263322813170296,0.6480686652163664,0.7780156619846821,0.6998069286346436
5,0.5455669124743768,0.8089183481144053,0.7386425720261676,0.6275356877595186,0.7923963641126951,0.7161253889401754
6,0.49420105792315944,0.8237545945282493,0.7564643852944885,0.7085127842923006,0.7680244209865729,0.6900193430483341
7,0.45914857681574567,0.8341363325182881,0.7689535812075649,0.6858941105504831,0.7898291982710361,0.7137007539470991
8,0.4206535456302975,0.8446781148335764,0.7816944199481181,0.6698480397462845,0.7908438704907894,0.7160492365558943
9,0.3980634706094861,0.8549861330538988,0.7933915954615388,0.7141614630818367,0.7740560000141462,0.6965708956122398
10,0.37629290390759706,0.8612634701920407,0.80042390152812,0.772129841769735,0.7633828769127528,0.6860898633797964
11,0.35230365329022917,0.8677146136760712,0.8083775841764042,0.7598160703976949,0.7793063782155514,0.7049441287914912
12,0.3330956995487213,0.8757800675396409,0.8190379656319108,0.7550107079247633,0.786453478038311,0.7132191310326258
13,0.3136665052069085,0.8808772654405662,0.8260541952082089,0.7989419394483169,0.7829320865372816,0.7094793071349462
14,0.3030816516838968,0.8854617125221661,0.8314251378178596,0.8216712990154823,0.7701465152204037,0.696481334666411
15,0.2825075768466507,0.8921252984021392,0.8400242746408496,0.8217181867609421,0.780644084016482,0.7060383881131808
16,0.2737273664346763,0.8959756014602525,0.844617975343551,0.8198726642876863,0.7841276898980141,0.7093121322492758
17,0.26010944321751595,0.8979505351079362,0.8489707330507892,0.8502030031134685,0.7681738783915838,0.6909249785045782
18,0.24371860309370927,0.9035355672240257,0.8559638075530529,0.8767387090871731,0.7671639112134775,0.6923846788704395
19,0.24565184927944625,0.9043234160968235,0.8562148790806532,0.890807269141078,0.7742357601722082,0.6969669597844282
20,0.2361041362663465,0.9070498371230704,0.860150287992188,0.9094131334374348,0.76143687342604,0.6848740726709366
