model,dice,iou,f1,precision,recall,pixel_acc,aamo,params,gflops,fps,ms_per_image
SegFormer-B0 (no attention loss),0.8743,0.7766,0.8743,0.8517,0.898,0.8425,0.0334,3714658,1.692,84.52,11.83
SegFormer-B0 + Attention Consistency Loss,0.869,0.7684,0.869,0.83,0.9118,0.8324,0.5752,3714658,1.692,100.81,9.92
