model,dice,iou,f1,precision,recall,pixel_acc,aamo,params,gflops,fps,ms_per_image,source,n_seeds,notes
U-Net (CNN baseline),0.8615,0.7568,0.8615,0.8009,0.9321,0.8174,n/a,31037698,109.48,1.47,680.55,Phase1/Lasana-Person4_Evaluation (Chanupa PyTorch ckpt),1,Full-scale 3576/766/766 seed 42; dataset-wide Dice/IoU.
SegFormer-B0 (no attention loss),0.8743,0.7766,0.8743,0.8517,0.898,0.8425,0.0334,3714658,1.692,84.52,11.83,Phase2/Kalana-Person2 (full-scale Colab),1,Full-scale 3576/766/766 seed 42; Person 4 metrics/aamo formulas.
SegFormer-B0 + Attention Consistency Loss (λ2=1.0 MSE),0.8577,0.7508,0.8577,0.7885,0.9402,0.8098,0.7476,3714658,1.692,103.36,9.67,Phase2/Dinura-Person3/results/runs/l2_1_mse,1,"Dinura sweep winner l2_1_mse (λ2=1.0, mse); selection: max test AAMO then max Dice. Supersedes Kalana default-λ2=0.3 attention row."
SegFormer-B0 + Attention Consistency + Boundary Loss,0.8669,0.765,0.8669,0.8085,0.9343,0.825,0.6218,3714658,1.692,113.23,8.83,Phase2/Dhinanjaya-Person5/results/baseline_comparison.csv (run l2_1_mse_bnd0.2),1,"λ3-sweep winner (λ2=1.0 MSE, λ3=0.2, boundary_kernel=3); selection: max test Dice then max test IoU. AAMO 0.6218 vs 0.7476 for the λ3=0 attention row — see Phase2/Dhinanjaya-Person5/results/baseline_comparison.md."
DeepLabV3+ (MobileNetV3) — extra baseline,0.7821,0.6422,0.7821,0.6591,0.9616,0.6941,n/a,11020594,n/a,,,"Phase2/Lasana-Person4/train_deeplab_multiseed.py (seed 42, 400-sample smoke)",1,"CPU smoke (400 samples / 5 epochs), seed-42 eval from deeplab_multiseed.json. Multi-seed mean±std in ablation_mean_std.md."
