epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,train_l_att,val_l_att,train_l_boundary,val_l_boundary
1,1.2177610973383757,0.7399964697148556,0.6572555643354776,1.1200167209143428,0.7685589720750048,0.687291540976907,0.13396009835919837,0.12262328245856996,0.9796063266611206,0.9788725008852488
2,1.0714237837983458,0.7676168275128303,0.6897432896934178,1.0289032403622844,0.783851573488298,0.7057955082440185,0.11510175655790504,0.108572202184488,0.9756692911454495,0.9759862012869385
3,1.0063495999764676,0.7791800565649175,0.7033223090839755,0.9898874160126047,0.7874661749626185,0.7083525947938608,0.10804087662133358,0.10691791140977731,0.9728540324124714,0.9732665775961415
4,0.9567129232939457,0.7903036998777256,0.7168357359734475,0.9712753338306442,0.7924040082406585,0.7155211236760384,0.10134530198476194,0.10552501822967696,0.9699858544223527,0.9705252410070703
5,0.9053575579885401,0.7993394504281811,0.7285015492719255,0.9831692746040404,0.7898629524276983,0.7135256244074786,0.0936405442229793,0.1033426535913998,0.9676728609957684,0.9701781315685253
6,0.8637153431189807,0.8086721307430786,0.7386850625093048,0.9922813249474717,0.7807314950351179,0.7028297684813616,0.08798301298650746,0.104736277693761,0.9657351770823701,0.9686998886010043
7,0.8080271942295151,0.8210411849879372,0.7538054889209758,1.008944146432391,0.781897189121745,0.7063037301563201,0.07935764344732832,0.1078505289227782,0.9632010817094404,0.9684484916162864
8,0.7782517931605345,0.828272495581716,0.7617138145406022,1.0140647856280325,0.7826447750814184,0.707157865492064,0.07666241391766368,0.10816073414198471,0.9612346864420029,0.968070324111545
9,0.7326672579718116,0.8373827700560836,0.7735081275277954,0.9984176648542402,0.7792915929285742,0.7017140012628511,0.06987535704817452,0.10286212397809809,0.9585085328526678,0.9674130545895031
10,0.7065435247974975,0.8435614126273395,0.7808905022056056,1.042332533990123,0.773820135875288,0.6964136443636582,0.06521874960709595,0.10666965463748275,0.9563600402283722,0.9662128639439067
11,0.6865946578957823,0.8503931812268138,0.7880439948057071,1.0559145933693135,0.7772685250323148,0.6997520064125331,0.06319653311952943,0.10629760160283538,0.9547809413582153,0.9643258915401937
12,0.6460781479525219,0.8593462827838775,0.799881418055429,1.1606933778205366,0.75083962194926,0.6689556321856923,0.058266675949666516,0.115741025549773,0.9514724970930641,0.9658036852163061
13,0.6254594948317781,0.8644199153257679,0.80571133674211,1.0818838757650038,0.7788780206613238,0.7025420207362375,0.05525971189887686,0.10489832710319104,0.9492978335126935,0.96610220325211
14,0.6203309142091197,0.8683502264356708,0.809941869209005,1.0856368412937258,0.7668284114304554,0.6876336037015368,0.055241178212360784,0.10654556645839122,0.9485900774098083,0.9657292934061653
15,0.5873959119446259,0.873692500961275,0.8174102444069982,1.1797426317674995,0.7864465062897836,0.7093857036056844,0.050046325231000145,0.11371497342158741,0.9462809182486811,0.9651342661511494
16,0.571716168286983,0.8780406399466367,0.8222469909987458,1.1409287486546345,0.7765508644067185,0.7015967795433481,0.04889961528784274,0.1073152478747848,0.9433661148085424,0.9632662831180712
17,0.5624819305294112,0.8806688068140883,0.8262605179467831,1.1530638949133398,0.7641743099230525,0.6861253942094616,0.04726395482977152,0.11359896189739864,0.9413344509716268,0.9623142786654729
18,0.5486214548866087,0.8837496992718974,0.8304910610883486,1.1368036608043912,0.7700108591499026,0.6925969776567904,0.04499533679206091,0.10470196070342858,0.9392490088439628,0.965660215669139
19,0.5288783842885254,0.8889716802965704,0.8368677388664693,1.1414823774686058,0.7698444347512298,0.6960049555214495,0.042496717667163626,0.10802612283787454,0.9371663332818871,0.9624419498692605
20,0.5093067897196184,0.8942304352502548,0.8434126053161346,1.1599692040884153,0.7890655838888283,0.7113547498288546,0.04103546902710276,0.1072205325999533,0.9346894134644427,0.9612182498600713
