epoch,accuracy,dice_coef,iou_coef,learning_rate,loss,precision,recall,val_accuracy,val_dice_coef,val_iou_coef,val_loss,val_precision,val_recall
0,0.6996140480041504,0.6989139914512634,0.6294009685516357,0.0010000000474974513,0.4523661136627197,0.7186623811721802,0.8389444351196289,0.42265358567237854,0.03259686753153801,0.007037883158773184,2.301692485809326,0.6431604623794556,0.001256320858374238
1,0.7219206690788269,0.7154465913772583,0.6474466323852539,0.0010000000474974513,0.4297449588775635,0.7428893446922302,0.8363126516342163,0.6649942994117737,0.5432944297790527,0.47239434719085693,0.530288815498352,0.7879176735877991,0.574788510799408
2,0.743895947933197,0.7269162535667419,0.6663497686386108,0.0010000000474974513,0.41210365295410156,0.767005980014801,0.8369038105010986,0.7232999205589294,0.6100236773490906,0.5425617098808289,0.47856685519218445,0.8338972330093384,0.6505978107452393
3,0.7562403678894043,0.7400619387626648,0.6820089817047119,0.0010000000474974513,0.3970642685890198,0.7696699500083923,0.8602199554443359,0.7550414800643921,0.733386754989624,0.6628799438476562,0.40758010745048523,0.7160429954528809,0.9544574618339539
4,0.7614779472351074,0.7460559010505676,0.6889101266860962,0.0010000000474974513,0.39157700538635254,0.7704536318778992,0.8707571625709534,0.8019090294837952,0.692826509475708,0.674865186214447,0.37469351291656494,0.8026037812232971,0.8714029788970947
5,0.7722373604774475,0.7521371245384216,0.6984577775001526,0.0010000000474974513,0.37968939542770386,0.7847473621368408,0.8665503263473511,0.7572254538536072,0.7366321682929993,0.6626877784729004,0.4185231029987335,0.718546986579895,0.9530365467071533
6,0.7626842260360718,0.7473002672195435,0.6881893873214722,0.0010000000474974513,0.3878735601902008,0.7777188420295715,0.8587266206741333,0.7384697794914246,0.7135517597198486,0.6529149413108826,0.3996664881706238,0.6998518705368042,0.9582237601280212
7,0.7711277008056641,0.7557066082954407,0.6957588195800781,0.0010000000474974513,0.37782683968544006,0.7873157858848572,0.8591371774673462,0.7528719305992126,0.7079888582229614,0.6596224308013916,0.39684590697288513,0.7161741852760315,0.9478318095207214
8,0.7770361304283142,0.7574757933616638,0.7006699442863464,0.0005000000237487257,0.3714430332183838,0.7920854687690735,0.8632822036743164,0.7822076678276062,0.7077339887619019,0.643742024898529,0.3726683557033539,0.8086331486701965,0.8161196112632751
9,0.7861737012863159,0.7643429636955261,0.7091560959815979,0.0005000000237487257,0.3644845485687256,0.8039920926094055,0.8616282343864441,0.8027531504631042,0.7442861795425415,0.6767397522926331,0.3464248776435852,0.8015477061271667,0.8752463459968567
10,0.7843295335769653,0.7643101215362549,0.7083954215049744,0.0005000000237487257,0.3639180362224579,0.8006529211997986,0.8635772466659546,0.798057496547699,0.710853099822998,0.6666505336761475,0.36365365982055664,0.8084925413131714,0.8523036241531372
11,0.785696804523468,0.7642149329185486,0.7044422626495361,0.0005000000237487257,0.3613449037075043,0.8067673444747925,0.855758786201477,0.8055958151817322,0.7522275447845459,0.6866642236709595,0.3415822982788086,0.7891609072685242,0.9053491353988647
12,0.789232611656189,0.7657784223556519,0.7119407057762146,0.0005000000237487257,0.3567356765270233,0.8038962483406067,0.8683896660804749,0.778088390827179,0.7267553806304932,0.6712840795516968,0.3887507915496826,0.7468726634979248,0.9315769076347351
13,0.7906674146652222,0.7671124339103699,0.7122604846954346,0.0005000000237487257,0.3581371009349823,0.8063586354255676,0.8671251535415649,0.8005943894386292,0.7280279397964478,0.6917537450790405,0.3507177233695984,0.7652633786201477,0.9445372223854065
14,0.7963705658912659,0.7703161239624023,0.7180985808372498,0.0005000000237487257,0.3495318293571472,0.808834433555603,0.8749843835830688,0.7651613354682922,0.7159355282783508,0.6683139204978943,0.38079550862312317,0.7279041409492493,0.9477468729019165
