epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.5539039557412166,0.7910631941068893,0.6609695793798306,0.47604614216834307,0.8392112608999014,0.7272309176623821
2,0.5114861895440675,0.810945241843294,0.688271305638405,0.4914322312300404,0.8258005399256945,0.7068762931351861
3,0.4888868616598031,0.82039929929729,0.7017237719406751,0.4391423269795875,0.8516854786624511,0.7460314258933067
4,0.47185461326466843,0.8271683433178554,0.7105653280646476,0.4332343554124236,0.8507536804924408,0.7439237056920925
5,0.47227777227325995,0.8268866346986502,0.7114089997422776,0.4260486848652363,0.8494249451905489,0.7423638825615247
6,0.46680011678595407,0.8318912628246367,0.7180628003156692,0.42299726931378245,0.8546011596918106,0.750051865975062
7,0.4587998950241396,0.8335662417497144,0.7203816987524096,0.48054125253111124,0.8280404092123111,0.7114752313743035
8,0.4536268375730621,0.8363781944750672,0.7244483607860753,0.42528890694181126,0.84187727731963,0.7317429004857937
9,0.4519041219280337,0.8351011396921187,0.7231329373465288,0.42966933781281114,0.8325539448608955,0.7182973039646944
10,0.4528944094309071,0.8366943984490379,0.7253849545714572,0.4226253400556743,0.8597395954032739,0.7578787598758936
11,0.4429235959079708,0.839556928982404,0.7286825452741628,0.41100325078393024,0.8533018647382656,0.7481127126763264
12,0.43642592020082793,0.8417317774605164,0.7323825671368798,0.3969996767118573,0.8582053029288849,0.7557041794061661
13,0.43272600174616915,0.8426574377938938,0.7335256151438293,0.40537593079109985,0.8661349757264057,0.7673689350485802
14,0.43399997118868816,0.8428388870002439,0.733936591369727,0.4068478927947581,0.8500876488784949,0.7432905038197836
15,0.42760226817205715,0.8454186808342902,0.7377252167369962,0.3979679859864215,0.8594199071327845,0.7573672837267319
16,0.43059458835279646,0.844827400957978,0.7369658376946545,0.41480690489212674,0.8560230446358522,0.7522416425247987
17,0.42584879343008303,0.8463267723985967,0.7389626999029377,0.3953907258498172,0.862681882455945,0.7624161994705597
18,0.4281076966582795,0.8455884073938033,0.7380677245607312,0.391782123905917,0.8609078768640757,0.7594328820705414
19,0.4175327195883864,0.8482674782974875,0.7415610487829118,0.4632469170416395,0.8089103605598211,0.6847317172214389
20,0.42012375893208803,0.8478345166916815,0.7418362250930778,0.4037404897001882,0.8391707340876261,0.7277473316838344
