epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,train_l_att,val_l_att,train_l_boundary,val_l_boundary
1,1.5204085058780592,0.7424307230187417,0.6597695805581995,1.3914500496717408,0.7818021392791582,0.7028955473354276,0.13324801775564854,0.11444761905291509,0.9786386936569641,0.9771761760387968
2,1.3781178469125857,0.7678872581893873,0.6901911768163588,1.3293889212390462,0.7827300936385019,0.7052242071033795,0.11798627661779143,0.11318212947759573,0.9746572262955459,0.9731815300940222
3,1.3010163118008533,0.7797857414207789,0.7046723573368782,1.3077351318638257,0.7886950805499582,0.7114274315623653,0.10836705447962951,0.109404419726928,0.9712277214132433,0.9727893259288748
4,1.2530785492002563,0.7872874877639293,0.7132810783189979,1.2681520023327273,0.7943649966593267,0.7185542514665254,0.10243660034641772,0.10576364952358405,0.9686250466795042,0.9691542190920279
5,1.2002850847039581,0.7985511807153977,0.7271745980607187,1.2803780889386607,0.7857313609183009,0.7079343051347171,0.09444357114229393,0.10912991752945295,0.9658459452307998,0.9663231231213861
6,1.1529586019798679,0.8075789930479004,0.7379306300791983,1.3144295624124163,0.7715373707666359,0.6922074738444175,0.08737097545961851,0.1113691035379697,0.9632879426448671,0.9671311072674494
7,1.1035266198651237,0.818491406535875,0.7510006724961263,1.287982617166895,0.7784404079273722,0.6990677354076497,0.08026317485190941,0.10680389566488038,0.9605024772835791,0.9663800206570339
8,1.0534391194932013,0.8294046248435027,0.7647100263700433,1.3283498919430352,0.7781363495171174,0.7009766864571685,0.07320714362443037,0.10990034117346371,0.9569824775993424,0.9654701062655636
9,1.0267563702359428,0.8346607463586444,0.7705754798873704,1.3506621954179618,0.7647481208693798,0.6854606745618244,0.06971365447474906,0.1112766133942921,0.9544309315498777,0.9642598049292054
10,0.990979451136101,0.8449716625429383,0.7821910926879896,1.344189571960788,0.7860371130408034,0.7087665948120765,0.0653570834454175,0.10285452567648833,0.9513822532606871,0.9614820449221538
11,0.9639794513316496,0.8504144341857766,0.7896829235040485,1.354281495040764,0.7755217971142969,0.6967429435103649,0.06293605033191592,0.10631431187302429,0.9489856284670115,0.9623446351709939
12,0.9268526348558315,0.8584183283124788,0.7992104646163634,1.3324107465482566,0.7860855498027113,0.7098945405055631,0.05656540086337936,0.10061631070671229,0.945291043244619,0.9587559954460234
13,0.906910272560997,0.8627081742230092,0.8045366375276156,1.3850229858729608,0.7720856840816134,0.6952643956053115,0.05301923730174419,0.107124948001153,0.9430444659602722,0.9598648204971543
14,0.8900914942591516,0.8684785070815313,0.8110706654800075,1.3873974402330562,0.7716618489790865,0.6954394170760557,0.052183016955095154,0.10745392372015883,0.940347828771044,0.9587207771934977
15,0.8671673465128447,0.8733497437464925,0.8172519448026839,1.4234036759670348,0.7753131676548044,0.6982158888365406,0.050421767857749225,0.10741637704782091,0.9375700071387376,0.957156065627738
16,0.8506692141061127,0.8774292469000017,0.822675808497491,1.3777876505652544,0.7839295420085055,0.7086606074414499,0.04847614029062999,0.10585499869801794,0.934436251519777,0.9550877856990376
17,0.8297531855619728,0.8824041611678172,0.8290719118406551,1.4568623182589953,0.7866132459326366,0.710808924737202,0.046207330474953984,0.11436666015963563,0.9318576371609765,0.9564865454836863
18,0.8076074512996263,0.8885136429820951,0.8362385764929167,1.4457943179199653,0.7848185656217102,0.7090825462929202,0.043222170667235806,0.10718550895554727,0.928277429834975,0.9562987272017307
19,0.8132036115215795,0.8867750288267116,0.8349122824112185,1.3930127073672671,0.7781840528272251,0.7014779586546938,0.04366174650949403,0.10550424160968327,0.9274500776123947,0.9562007052624506
20,0.7953999430457884,0.8914799945362895,0.8402696512630403,1.4443033082366923,0.7888493631921029,0.7138576964648482,0.04083845716562816,0.10313285776054093,0.9239537579734587,0.9560350934456907
