epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,train_l_att,val_l_att
1,1.0264889760572105,0.7402473259346972,0.6573386037451836,0.8963900051096712,0.7739965010287202,0.6959022447536195,0.1331789395126037,0.11358223426552105
2,0.8805984239608583,0.7681778562299466,0.6907542864077738,0.848257083902938,0.7810971617608619,0.7025710973237861,0.11625060609481151,0.11255030271380789
3,0.8134988909170565,0.7790342741557711,0.7034638738248523,0.7815172875752336,0.7928648339834866,0.7143718227563831,0.10875978035918984,0.10278399203972059
4,0.7602372302275809,0.7895955532281872,0.7159200260355115,0.7830619233375896,0.7909097200308489,0.7138432672750514,0.10095540916737819,0.10474382523889836
5,0.7058921003739206,0.8013653615473718,0.730429552658826,0.7926315393483669,0.7881122376498679,0.7105368006002131,0.09217136243122039,0.10838834732143554
6,0.6620542556901673,0.8107008736819625,0.7416618952047781,0.8157343577992355,0.7738237291120064,0.6940454880390262,0.08592485579319811,0.11033582333572617
7,0.6217363151852917,0.818739909054006,0.7511643134446212,0.8054855439821672,0.780183926812062,0.7024082842036096,0.08081152824861033,0.10280761526388119
8,0.5829177841260796,0.8275850309418412,0.7611435939953772,0.8330327240706424,0.7849319829983257,0.7084860461752216,0.07515460448877384,0.10870114797799223
9,0.5485924527099069,0.8359456123005194,0.7719135359153506,0.8404749651918524,0.7705655549885092,0.69435177114374,0.06991027214040123,0.103786231883055
10,0.5158646502104949,0.8446966223422109,0.781415668771543,0.8589397971530496,0.7812662190801731,0.7057378841341643,0.06568391529035336,0.1032090106402711
11,0.49790385109424523,0.8479320008056411,0.785444913017479,0.8681903567563927,0.7941060952202738,0.7190122199914554,0.06432622832481039,0.10252396523522082
12,0.464938429171757,0.85537653320767,0.7953380623076641,0.8544281875768156,0.7838184659744357,0.7086979158226725,0.05855114699979558,0.10084432374938894
13,0.44089632255589833,0.8634037299931473,0.804293101158236,0.840682813562161,0.7821955798055721,0.7066636530197881,0.05545735033997282,0.10453960398399312
14,0.4177176387109679,0.86929840145297,0.8117733007644454,0.9241474146709119,0.771594401194596,0.6923159726374684,0.05308890445760797,0.10709579891613964
15,0.40203994674758126,0.8726223673915758,0.8162126505942547,0.9136776249884937,0.7882466882260042,0.7117992328513695,0.05138288445391023,0.10823736589446946
16,0.38120959926879977,0.8787283498434363,0.8232556509925756,0.8892816223602926,0.7845302126996356,0.7104005499912178,0.04946667165508477,0.10456131740689628
17,0.3636668980365382,0.8834345138574095,0.8289626540214666,0.9471316106627178,0.773058345150268,0.6947232240601672,0.04730974788126698,0.10577804341914701
18,0.34573446851852924,0.8869457326521388,0.8338856621794355,0.9514139429921425,0.7812563546730752,0.7031775237809339,0.0445331994055625,0.10698881908228704
19,0.3363123368148919,0.8910368436673636,0.8395379862823829,0.9647210659045853,0.7850548274110919,0.7075824078608364,0.043050249849687805,0.10327971445040306
20,0.33062044706120586,0.8925036470781711,0.8407699848492911,0.931188261768642,0.786697769797291,0.7100644802732455,0.041869848615659705,0.10267230425019051
